listing_id,title,description,property_type,province,district,ward,street_name,project_name,total_price,area_m2,price_per_m2,floor_count,frontage_width,house_depth,road_width,bedrooms,bathrooms,house_direction,posted_at,district_clean,direction_clean,amenity_score,cluster
474,"Bán nhà mặt tiền đường số 36 P. Tân Quy, ngang 8m, nhà 3 tầng mới đẹp","Bán nhà nhà 3 tầng mặt tiền ĐS Tân Quy Quận 7: - DT: 8x11m, 2 lầu, sát Nguyễn Thị Thập. - Khu vực tập trung nhiều toà nhà cao tầng. - Rất phù hợp làm VPCTY/KD đa ngành. - Nhà mới đẹp như hình. Giá bán 15tỷ còn trao đổi. * Liên hệ: [phone_number] Em Dung để được hỗ trợ tốt nhất có thể.",Nhà,Hồ Chí Minh,7,Tân Quy,Số 36,,15000000000.0,88.0,170454545.45454547,3.0,8.0,,,4.0,5.0,Đông,2025-06-18 16:33:27.888,Quận 7,Đông,7.5,2
2220,"Hàng kín, bán gấp nhà 2MT đường Lê Đức Thọ, quận Gò Vấp, ngang 12 dài 65m, giá 51 tỷ, CTXD: 8 tầng","Bán nhà mặt tiền 1281 Lê Đức Thọ, Phường 13 Quận Gò Vấp. Vị trí: Trung tâm Gò vấp, gần ngã 4 Lê Văn Thọ và cầu Trường Đai. DT: 12 m x 65 m (thực tế gần 900m2). CN: 702 m2. CTXD: Hầm 8 tầng. Giá: 51 tỷ. Cam kết thông tin thật - mua được giá rẻ nhất. - Tặng ngay 1 nhẫn vàng khi giao dịch thành công với em. LH: Lộc [phone_number]có zalo).",Nhà,Hồ Chí Minh,Gò Vấp,,Lê Đức Thọ,,51000000000.0,702.0,72649572.64957266,,12.0,,,,,Nam,2025-06-09 15:16:33.976,Quận Gò Vấp,Nam,,2
2725,"Nhà đẹp vào ở ngay, trung tâm Q9, hẻm 6m Tăng Nhơn Phú B, sân để ô tô, sổ riêng vuông đẹp","Diện tích 4m x15m thiết kế 3 tầng hiện đại, giếng trời, ban công siêu chill 4 phòng ngủ cực thoáng, ánh sáng ngập tràn tự nhiên Hẻm 5m, cách mặt tiền chỉ vài bước chân, Ô tô tới tận nhà. Tiện ích xung quanh không thiếu thứ gì: Gần trường học, công ty, trung tâm giải trí, cafe, chợ, siêu thị Pháp lý sạch, sổ hồng riêng, hoàn công đủ mua là ở ngay Giáo dục Trường Đại học Giao thông Vận tải TP.HCM (cơ sở 2) Trường Cao đẳng Công Thương TP.HCM Trường THPT Nguyễn Văn Tăng Hệ thống trường mầm non, tiểu học và THCS công lập và tư thục đa dạng Y tế Bệnh viện Quân Dân Y Miền Đông Trạm y tế phường và nhiều phòng khám đa khoa, nha khoa tư nhân. Thương mại - mua sắm Chợ Nhỏ Tăng Nhơn Phú B (chợ dân sinh lớn) Co.op Food, Bách Hóa Xanh, Vinmart+, cửa hàng tiện lợi Gần Vincom Lê Văn Việt, Mega Market, BigC Dĩ An (khu lân cận) Giao thông & kết nối Gần trục đường Lê Văn Việt, Đỗ Xuân Hợp, Xa Lộ Hà Nội Tuyến Metro số 1 (Bến Thành Suối Tiên) cách vài phút di chuyển Thuận tiện di chuyển về Q.1, Q.2, Thủ Đức, Bình Dương, Đồng Nai",Nhà,Hồ Chí Minh,Thủ Đức,Tăng Nhơn Phú B,,,7100000000.0,62.0,114516129.03225806,,4.0,,,4.0,5.0,Đông Nam,2025-06-18 17:45:53.665,Huyện Thủ Đức,Đông Nam,,2
392,"Mặt tiền KDC Phú Lợi, Phường 7, Quận 8. Diện tích đất 100m2 (5x20) đường rộng 8m. Nhà 1 trệt 3 lầu","Nhà mặt phố tại KDC Phú Lợi, Phường 7, Quận 8, TP. Hồ Chí Minh, với diện tích đất 100m2 (5x20), là lựa chọn hoàn hảo cho những ai đang tìm kiếm không gian sống và kinh doanh lý tưởng. - Giá bán chỉ 10,5 tỷ VND. - Nhà có 4PN và 5WC, phù hợp cho gia đình đông người. - Mặt tiền rộng 8m, thuận lợi cho việc kinh doanh. - Hướng cửa chính và ban công đều Đông Bắc, mang lại phong thủy tốt. - Đường vào rộng 8m, dễ dàng cho xe ô tô ra vào. - Pháp lý đầy đủ, đảm bảo quyền lợi cho người mua. Tiện ích xung quanh. - Trước nhà có công viên cây xanh, thoáng mát và trong lành. - Gần chợ Phú Lợi, trường học, bệnh viện, siêu thị Bách Hóa Xanh. Để biết thêm thông tin chi tiết và nhận tư vấn miễn phí, vui lòng liên hệ Vinh chuyên nhà phố Quận 8 qua số điện thoại [phone_number]",Nhà,Hồ Chí Minh,8,,,,10500000000.0,100.0,105000000.0,4.0,5.0,,,4.0,5.0,Đông Bắc,2025-06-18 11:06:10.770,Quận 8,Đông Bắc,,2
864,"Bán gấp nhà riêng 5PN, 4WC, 48m2, 8,3 tỷ tại Nguyễn Đình Chiểu, P4, Phú Nhuận, HCM","Nhà riêng tại Nguyễn Đình Chiểu, Phường 4, Phú Nhuận, Hồ Chí Minh. Diện tích 48m2 (nở hậu). - 5 phòng ngủ (5PN) rộng rãi, thoáng mát, phù hợp cho gia đình đông người. - 4 phòng tắm (4WC) tiện nghi, giúp tiết kiệm thời gian cho mọi thành viên. - Hướng cửa chính Tây Nam. - Pháp lý đầy đủ, đảm bảo an toàn cho người mua. - Giá bán: 8,3 tỷ VND. Gần chợ Nguyễn Đình Chiểu, Phú Nhuận và siêu thị như Bách Hóa Xanh và WinMart + , thuận tiện cho việc mua sắm hàng ngày. Để biết thêm chi tiết và đặt lịch xem nhà, vui lòng liên hệ Nguyễn qua số điện thoại [phone_number]",Nhà,Hồ Chí Minh,Phú Nhuận,4,Nguyễn Đình Chiểu,,8300000000.0,48.0,172916666.66666666,,,,,5.0,4.0,Tây Nam,2025-06-10 08:17:05.226,Quận Phú Nhuận,Tây Nam,,2
2030,Giảm Mạnh 900 Triệu Cho Siêu Phẩm HXH Thông Nhiều Tiện Ích Bậc Nhất Gò Vấp Gần Ngã 3 Tân Sơn Quang,"GIẢM MẠNH 900 tr CHO SIÊU PHẨM MART HOME- ĐƯỜNG QUANG TRUNG GÒ VẤP - GẦN NGÃ 3 TÂN SƠN ============================== - GIÁ MỚI 7 TỶ 900 TL Nhẹ Giá Cũ 8.8 Tỷ - Vị Trí - Quang trung -p8 - Gò Vấp(ngay khách sạn PILOS) - DT:4.2x15m - Kết cấu:trệt+lửng+3 lầu gồm:Gara ô tô,phòng khách,phòng bếp,4 phòng ngủ,6 tolet,phòng xông hơi,phòng thờ,sân thượng ,bếp trên sân thượng - Gần trường học 1 2 3 siêu thị bệnh viện bán kính 200m - có hồ bơi mini - Xe hơi tận nơi - Tặng Full nội Thất cao cấp - SHR Hoàn Công đủ - Nguyễn Tuân",Nhà,Hồ Chí Minh,Gò Vấp,8,Quang Trung,,7900000000.0,63.0,125396825.3968254,5.0,4.2,,4.0,4.0,6.0,Tây - Bắc,2025-06-26 18:28:02.183,Quận Gò Vấp,Tây Bắc,7.3,2
807,"Bán gấp nhà 5 x 20m vuông vức, hầm 7 tầng mặt tiền đường lớn Lê Văn Sỹ có HĐ thuê 90 tr/tháng","Bán nhà 5 x 20m, hầm 7 tầng mặt tiền đường lớn Lê Văn Sỹ có HĐ thuê 90 tr/th! Một ngôi nhà có tiềm năng để đầu tư và ở, sổ không vay có thể giao dịch trong ngày chủ định cư nước ngoài cần bán gấp trong tháng. Vị trí vàng: Mặt tiềN Lê Văn Sỹ, P. 13, Quận 3 sát ngay Lê Văn Sỹ, khu vực sầm uất, trung tâm, tiện kinh doanh mọi ngành nghề. Diện tích: 5 x 20m công nhận đủ 100m². Kết cấu: 7 tầng kiên cố + thang máy cao cấp. Hợp đồng thuê sẵn: 90 triệu/tháng còn 4 năm, đảm bảo dòng tiền ổn định ngay từ ngày đầu nhận nhà. Giá rẻ hấp dẫn chốt nhanh 30 tỷ còn thương lượng cho khách thiện chí! Liên hệ em Trang xem nhà đẹp trong ngày!",Nhà,Hồ Chí Minh,3,,Lê Văn Sỹ,,30000000000.0,100.0,300000000.0,,5.0,,,,,Đông Nam,2025-06-23 12:17:57.935,Quận 3,Đông Nam,,2
1764,"Nhà chính chủ, sổ hồng riêng diện tích đất 4m x 20m, nhà mới xây năm 2023","Nhà chính chủ, 5 phòng ngủ, 5 vệ sinh, ngay ngã tư Võ Văn Kiệt - Hồ Học Lãm, số 27, đường số 9 , khu dân cư Hương Lộ 5, nhà mới xây năm 2023 LH",Nhà,Hồ Chí Minh,Bình Tân,An Lạc,,,9200000000.0,80.0,115000000.0,4.0,4.0,,,5.0,5.0,Tây - Bắc,2025-06-27 09:09:47.446,Quận Bình Tân,Tây Bắc,8.0,2
1345,"bán nhà hẻm xe hơi đường dương đức hiền, phường tây thạnh DT 4x16 đúc 1 tấm LH [phone_number] Hiểu","Hẻm xe hơi ! ĐỐI DIỆN HỒ BƠI TÂY THẠNH 72/ Dương Đức Hiền, P.Tây Thạnh, Q.Tân Phú - Diện tích : 4m x 16m. - Kết cấu: 1 trệt, 1lầu, .2PN, 2WC. - Hẻm 5m thông. - Đối diện hồ bơi Tây Thạnh, Cách EAONMAIL Tân Phú 1km, Đại Học Công Thương 500m,Trường, chợ,công viên... bán kính500m đầy đủ - giao thông thuận tiện đi các quận trung tâm. - Khu an ninh, dân trí tốt. - Hướng : Bắc - Giá 5,7 tỷ",Nhà,Hồ Chí Minh,Tân Phú,Tây Thạnh,,,5700000000.0,64.0,89062500.0,,5.0,,,2.0,2.0,Bắc,2025-06-27 04:59:26.123,Quận Tân Phú,Bắc,11.2,1
815,Cặp siêu phẩm hẻm 413 Lê Văn Quới 4x16m 3l st giá 8.95 tỷ còn TL,"Cặp siêu phẩm hẻm 413 Lê Văn Quới khó trụ trong tuần rồi phải nói là đẹp quá quý vị ơi. - Diện tích: 4 x 16m. - Kết cấu: 1 trệt 1 lửng 3 lầu sân thượng. Gồm: Sân để xe, phòng bếp, phòng khách, 6 phòng ngủ có nội thất. - Vị trí nhà: Nằm trên trục đường Lê Văn Quới phường bình trị đông a quận Bình Tân. - Pháp lý sổ hồng riêng. - Giá: 8 tỷ 950 thương lượng. - Hỗ trợ ngân hàng lên tới 65% - 70% giá trị căn nhà. Xin liên hệ: Hoài Nam BĐS [phone_number] Uy tín - Tốc độ - Tận tâm. Tìm nhà theo yêu cầu. Thông tin chính xác 100%. Địa chỉ Tân Phú Land: 142 Trương Vĩnh Ký, P. Tân Thành, Q. Tân Phú, TP. HCM.",Nhà,Hồ Chí Minh,Bình Tân,Bình Trị Đông A,Lê Văn Quới,,8950000000.0,64.0,139843750.0,,4.0,,,,,Đông,2025-06-19 09:24:44.884,Quận Bình Tân,Đông,8.9,2
