ward,district_clean,school_count,hospital_count,supermarket_count,park_count,bus_stops_count,amenity_score
Phường 12,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 11,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 5,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 25,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 19,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 17,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 13,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 3,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 22,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 7,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 27,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 24,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 1,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 26,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 21,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường 3,Quận Gò Vấp,140,26,59,37,199,102.5
Phường 1,Quận Gò Vấp,140,26,59,37,199,102.5
Phường Tân Thới Nhất,Quận 12,122,16,42,39,230,92.6
Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường 2,Quận Bình Thạnh,94,18,87,38,190,89.8
Phường Phú Mỹ,Quận 7,124,34,93,134,209,148.3
Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường 5,Quận Gò Vấp,140,26,59,37,199,102.5
Phường An Lạc A,Quận Bình Tân,158,36,94,56,276,135.2
Phường An Lạc,Quận Bình Tân,158,36,94,56,276,135.2
Phường Trung Mỹ Tây,Quận 12,122,16,42,39,230,92.6
Phường Long Bình (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường 15,Quận Gò Vấp,140,26,59,37,199,102.5
Phường 10,Quận Gò Vấp,140,26,59,37,199,102.5
Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Bình Hưng Hoà B,Quận Bình Tân,158,36,94,56,276,135.2
Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Tân Kiểng,Quận 7,124,34,93,134,209,148.3
Phường Tăng Nhơn Phú B (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Tân Chánh Hiệp,Quận 12,122,16,42,39,230,92.6
Phường Thới An,Quận 12,122,16,42,39,230,92.6
Phường Tân Hưng,Quận 7,124,34,93,134,209,148.3
Phường Tân Tạo A,Quận Bình Tân,158,36,94,56,276,135.2
Phường Phước Long A (Quận 9 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Trường Thọ (Quận Thủ Đức cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Phú Thuận,Quận 7,124,34,93,134,209,148.3
Phường Tân Phong,Quận 7,124,34,93,134,209,148.3
Phường Linh Tây (Quận Thủ Đức cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Tân Tạo,Quận Bình Tân,158,36,94,56,276,135.2
Phường An Phú (Quận 2 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Bình Trưng Đông (Quận 2 cũ),Thành phố Thủ Đức,412,66,384,181,966,403.4
Phường Bình Trị Đông,Quận Bình Tân,158,36,94,56,276,135.2
Phường Bình Trị Đông B,Quận Bình Tân,158,36,94,56,276,135.2
