profile,id,listing_id,title,description,property_type,apartment_type,project_name,province,district,ward,street,latitude,longitude,area_m2,bedrooms,bathrooms,direction,balcony_direction,furnishing_status,legal_status,total_price,price_text,price_per_m2,posted_at,updated_at,image_count,status,source,url,crawled_at,created_at,db_updated_at,district_clean,direction_clean,furnishing_label,legal_label,direction_code,balcony_code,furnishing_code,legal_code,amenity_score,cluster,score_price,score_area,score_segment,score_amenity,score_total,score_components
"Gia đình trẻ, 3 tỷ, Thủ Đức hoặc Bình Thạnh",3645,177591150,CHÍNH CHỦ CẦN BÁN CHUNG CƯ 2PN 2TOILET Beverly Solari 3TỶ050TRIỆU 64M2,"Chính chủ cần bán gấp căn hộ Beverly Solari 2PN, 2WC nhà chưa qua cho thuê giá: 3TỶ050TRIỆU

- PHÂN KHU CAO CẤP NGAY VINCOM VÀ QUẢNG TRƯỜNG 
Tổng giá: 3tỷ050
Ngân hàng hỗ trợ: 75% - 80% ( vcb, vtb, mb, acb, msb, tcb ) Tiện ích: công viên, hồ bơi, 36ha, vincom, vinschool, vin wonder


- Có ban công riêng thoáng mát.

- Nhà có sẵn nội thất: Có sẵn rèm, bếp trên dưới, máy lạnh,...

+ Khu dân cư dân trí cao, an ninh 24/24.    
Giá trên có hỗ trợ vay ngân hàng, nhà có trang bị các nội thất.
Liên hệ em NGỌC *** để xem nhà và gặp chủ ạ.
Em còn nhiều căn đẹp, anh chị quan tâm nhà SG liên hệ em nhé!
Cảm ơn anh chị đã xem tin.",Căn hộ/Chung cư,1,The Beverly Solari - Vinhomes Grand Park,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Nguyễn Xiển,10.8454,106.81972,64.0,2.0,2.0,5.0,2.0,2.0,5.0,3050000000,"3,05 tỷ",47656250.0,2026-07-21 12:06:47.000,,3,active,chotot,https://www.chotot.com/13000/1010/177591150.htm,2026-08-08 08:39:59.735,2026-08-08 08:39:59.735,2026-08-08 08:39:59.735,Thành phố Thủ Đức,Đông Nam,Nội thất cơ bản,Sổ hồng chung,5.0,2.0,2.0,5.0,403.4,0,0.9674479166666666,0.9846153846153847,0.3,0.2,2.452063301282051,"{'price': 0.9674479166666666, 'area': 0.9846153846153847, 'segment': 0.3, 'amenity': 0.2}"
"Gia đình trẻ, 3 tỷ, Thủ Đức hoặc Bình Thạnh",3530,177838754,"Bán căn hộ Vinhomes Grand Park, 65m², 2PN, có nội thất","Dự án: 
Thông tin chi tiết: Chính chủ thiện chí bán căn hộ đẹp có chỗ đậu xe ô tô, căn 2 phòng ngủ 2 WC,
tặng nội thất tại Vinhomes Grand Park Quận 9.
Khu cụm tòa S2 đẹp.
 Diện tích 65m².
Tầng trung đẹp.
Ban công nhà mình Đông Nam nên đón nắng sớm và chiều mát mẻ, đem lại nguồn sinh
khí tốt cho sức khỏe gia đình.
Mình ở đây rất thích nhưng chuyển công tác nước ngoài nên gia đình mình cần bán
lại.
Gia đình mình về ở lúc nhận nhà 8/2020 nên có chỗ đậu xe ô tô rất tiện, hiện
những căn khác muốn có chỗ để xe ô tô phải đăng ký BQL và đợi rất lâu, hoặc đậu
bên ngoài ít chi phí hơn nhưng hơi bất tiện.

Tiện ích ở Vin thì bạn biết rồi nhé.
Ở đây được nhất là nhiều cây xanh và rạch nhân tạo, nhiều nâng diện tích mặt
nước, nên nhiệt độ luôn thấp hơn so với các khu dân cư bên ngoài tầm 3 độ C.
Thiện chí mua thì mình có thương lượng nhẹ.
Mình làm việc online tại nhà nên bạn muốn xem nhà thì báo trước mình 60 phút.
Vì lý do cá nhân nên mình không ghi mã căn trực tiếp trên đây, bạn cần thông tin
nhắn Giang qua Zalo.
Cảm ơn bạn đã xem tin.
LH ",Căn hộ/Chung cư,1,Vinhomes Grand Park,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Nguyễn Xiển,10.8454,106.81972,65.0,2.0,,,,2.0,,3190000000,"3,19 tỷ",49076923.07692308,2026-08-04 12:42:02.207,2026-08-01 13:33:42,10,active,chotot,https://www.chotot.com/13000/1010/177838754.htm,2026-08-08 08:39:49.208,2026-08-08 08:39:49.208,2026-08-08 08:48:33.257,Thành phố Thủ Đức,missing,Nội thất cơ bản,,,,2.0,,403.4,0,0.9366666666666665,1.0,0.3,0.2,2.4366666666666665,"{'price': 0.9366666666666665, 'area': 1.0, 'segment': 0.3, 'amenity': 0.2}"
"Gia đình trẻ, 3 tỷ, Thủ Đức hoặc Bình Thạnh",3814,175863420,"RA CĂN GIÁ TỐT SAIGON GATEWAY BÁN 2PN 2.9TỶ BAO THUẾ PHÍ, CHỦ GẤP BÁN","NHẬN NGAY NHÀ MỚI TẠI SAIGON GATEWAY

- Miễn phí hồ bơi + gym + phí quản lý...

- Đầy đủ tiện ích như siêu thị Co. Op Mart, Vin Mart, Family Mart, cafe Trung Nguyên, ngân hàng Tiên Phong, trà sữa, salon tóc, phở, hủ tiếu, cơm tấm,...",Căn hộ/Chung cư,1,Saigon Gateway,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Phú (Quận 9 cũ),Đường Xa lộ Hà Nội,10.85097,106.77665,66.0,2.0,2.0,5.0,,3.0,6.0,2900000000,"2,9 tỷ",43939393.93939394,2026-07-27 02:07:40.054,2026-07-23 02:27:35,11,active,chotot,https://www.chotot.com/13000/1010/175863420.htm,2026-08-08 08:41:26.429,2026-08-08 08:41:26.429,2026-08-08 08:41:26.429,Thành phố Thủ Đức,Đông Nam,Nội thất đầy đủ,Sổ hồng riêng,5.0,,3.0,6.0,403.4,0,0.952020202020202,0.9846153846153847,0.3,0.2,2.4366355866355867,"{'price': 0.952020202020202, 'area': 0.9846153846153847, 'segment': 0.3, 'amenity': 0.2}"
"Gia đình trẻ, 3 tỷ, Thủ Đức hoặc Bình Thạnh",3556,177920244,Bán nhanh căn hộ 2PN View hồ bơi toà S102 chỉ 2.8T,"Bán nhanh căn hộ Rainbow 2PN1WC view hồ bơi rất đẹp
Mã căn:S1.02 tầng trung
View: trực diện Hồ Bơi nội khu
Diện tích: 61.5m2 tìm tường
Hướng ban công: Đông Bắc
Pháp lý: sổ sẵn, ko vay, công chứng ngay
Nội thất: Bếp rèm
Tình trạng: nhà đang cho thuê 6.5tr/tháng
Đã có sổ hồng.",Căn hộ/Chung cư,1,Vinhomes Grand Park,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Nguyễn Xiển,10.8454,106.81972,61.5,2.0,1.0,,5.0,,,2800000000,"2,8 tỷ",45528455.28455284,2026-08-05 08:45:01.000,,4,active,chotot,https://www.chotot.com/13000/1010/177920244.htm,2026-08-08 08:39:51.569,2026-08-08 08:39:51.569,2026-08-08 08:39:51.569,Thành phố Thủ Đức,missing,,,,5.0,,,403.4,0,0.9864498644986449,0.9461538461538461,0.3,0.2,2.432603710652491,"{'price': 0.9864498644986449, 'area': 0.9461538461538461, 'segment': 0.3, 'amenity': 0.2}"
"Gia đình trẻ, 3 tỷ, Thủ Đức hoặc Bình Thạnh",3557,174651042,Vinhomes Grand Park - 2PN - View đẹp ngắm hoàng hôn Landmark81,"VIEW đẹp Landmark81 - Tầng cao thoáng mát mẻ, yên tĩnh 🙌  :-* ngắm pháo hoa, ngắm hoàng hôn rất đẹp mỗi ngày - 360 độ không chắn!

+ GIÁ  2.700 tỷ - gồm thuế & phí bên Bán
   Khách Tiền Mặt có thể thương lượng Giá 💰💰 
+ S1.02 tầng cao 28.19 - 2PN . 1WC . 59m2
  (đã có SỔ HỒNG, ban công Tây Nam, cửa chính Đông Bắc)
+ View ngoại khu đảm bảo sự riêng tư, hàng xóm KOK nhìn trực diện vào nhà 🙌
+ Bàn giao nhà chất lượng mới 97% & Nội Thất 03 máy lạnh + Bếp gỗ + Rèm cơ bản, thuận tiện thiết kế nhà theo phong cách riêng 😎
+ Nắng sáng chiều, thích hợp trồng nhiều cây xanh phát triển tốt 🍃🍃

Tiện ích đã có gồm:
- Trường Vinshool mầm non + trường liên cấp 123 
- Siêu thị Vincom Mega Mall + bệnh viện Vinmec
- Xe bus điện đi Q1, Q2, và các quận trung tâm
- Hồ bơi + nhiều sân thể thao tennis + cầu lông + bóng bàn + sân đá banh
- Công viên ánh sáng 36ha + nhiều công viên cây xanh nội khu 
",Căn hộ/Chung cư,1,Vinhomes Grand Park,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Long Thạnh Mỹ (Quận 9 cũ),Nguyễn Xiển,10.8454,106.81972,59.0,2.0,1.0,5.0,8.0,3.0,6.0,2700000000,"2,7 tỷ",45762711.86440678,2026-07-28 03:53:00.556,2026-07-24 09:03:23,6,active,chotot,https://www.chotot.com/13000/1010/174651042.htm,2026-08-08 08:39:51.679,2026-08-08 08:39:51.679,2026-08-08 08:39:51.679,Thành phố Thủ Đức,Đông Nam,Nội thất đầy đủ,Sổ hồng riêng,5.0,8.0,3.0,6.0,403.4,0,0.9915254237288136,0.9076923076923077,0.3,0.2,2.399217731421121,"{'price': 0.9915254237288136, 'area': 0.9076923076923077, 'segment': 0.3, 'amenity': 0.2}"
"Nhà đầu tư, 5 tỷ, Quận 7 hoặc Bình Tân",5857,177910834,"Cần bán căn hộ Sky Garden 3, Phú Mỹ Hưng","Bán căn hộ Sky Garden 3 nhà 03 PN, PK, 2WC. nội thất đầy đủ chỉ .. tiện ích gần các siêu thị, trường học, công viên cây xanh mát quanh năm...",Căn hộ/Chung cư,1,Sky Garden 3,Tp Hồ Chí Minh,Quận 7,Phường Tân Phong,Phạm Văn Nghị,10.72911,106.70673,70.0,3.0,2.0,,6.0,2.0,6.0,4999000000,"4,999 tỷ",71414285.71428572,2026-08-05 03:03:32.000,,1,active,chotot,https://www.chotot.com/13000/1010/177910834.htm,2026-08-08 09:15:49.165,2026-08-08 09:15:49.165,2026-08-08 09:15:49.165,Quận 7,missing,Nội thất cơ bản,Sổ hồng riêng,,6.0,2.0,6.0,148.3,1,0.9998,1.0,0.3,0.2,2.4998,"{'price': 0.9998, 'area': 1.0, 'segment': 0.3, 'amenity': 0.2}"
"Nhà đầu tư, 5 tỷ, Quận 7 hoặc Bình Tân",6272,177404259,🚨 BÁN GẤP CĂN HỘ DOCKLAND Q7 – 69.7M² 2PN 2WC - GIÁ CỰC TỐT,"- Vị trí: Chung cư Dockland - Nguyễn Thị Thập, Tân Phú, Quận 7 (Liền kề Phú Mỹ Hưng, sát bên siêu thị GO!).
- Diện tích: 69.7m | 2 Phòng ngủ - 2 WC.
- Đặc điểm: Tầng cao, thiết kế tối ưu, thông thoáng, đón gió tự nhiên. Khu dân cư an ninh 24/7, đầy đủ hồ bơi, gym, khu vui chơi trẻ em.
- Nội thất: Đầy đủ đồ (Bếp, tủ lạnh, máy giặt, điều hòa, sofa, giường nệm...).
- Pháp lý: Sổ hồng chính chủ, công chứng ngay.
- Giá bán: 5.1 tỷ bao thuế phí (Có bớt lộc cho khách thiện chí mua nhanh).
 Liên hệ Ms. Hà: *** (Hỗ trợ xem nhà linh hoạt).",Căn hộ/Chung cư,1,Docklands Sài Gòn,Tp Hồ Chí Minh,Quận 7,Phường Tân Phú,Nguyễn Thị Thập,10.73685,106.7233,69.7,2.0,,,,,,5100000000,"5,1 tỷ",73170731.70731707,2026-07-15 00:26:00.229,2026-07-13 04:14:20,4,active,chotot,https://www.chotot.com/13000/1010/177404259.htm,2026-08-08 09:17:13.910,2026-08-08 09:17:13.910,2026-08-08 09:17:13.910,Quận 7,missing,,,,,,,148.3,1,0.9756097560975611,0.9957142857142858,0.3,0.2,2.471324041811847,"{'price': 0.9756097560975611, 'area': 0.9957142857142858, 'segment': 0.3, 'amenity': 0.2}"
"Nhà đầu tư, 5 tỷ, Quận 7 hoặc Bình Tân",5983,177606259,"BÁN GẤP CĂN HỘ 2PN - 2WC DOCKLANDS, Q7 – FULL NỘI THẤT","Đường Nguyễn Thị Thập, Quận 7 – Cạnh GO!, kết nối nhanh Phú Mỹ Hưng và Quận 1.
- Diện tích: 69.7m² | 2PN - 2WC
- Tầng cao, thiết kế thoáng, đón ánh sáng tự nhiên.
- Full nội thất: bếp, tủ lạnh, máy giặt, máy lạnh, sofa, giường… vào ở ngay.
- Tiện ích: Hồ bơi, gym, sân chơi trẻ em, an ninh 24/7.
- Sổ hồng chính chủ, công chứng nhanh.
* Giá bán: 5.1 tỷ bao thuế phí, thương lượng khách thiện chí.
Liên hệ: Ms. Hà – ***",Căn hộ/Chung cư,1,Docklands Sài Gòn,Tp Hồ Chí Minh,Quận 7,Phường Tân Phú,Nguyễn Thị Thập,10.73685,106.7233,69.7,2.0,2.0,,,,,5100000000,"5,1 tỷ",73170731.70731707,2026-07-24 00:12:01.211,2026-07-22 07:02:31,3,active,chotot,https://www.chotot.com/13000/1010/177606259.htm,2026-08-08 09:16:21.307,2026-08-08 09:16:21.307,2026-08-08 09:16:21.307,Quận 7,missing,,,,,,,148.3,1,0.9756097560975611,0.9957142857142858,0.3,0.2,2.471324041811847,"{'price': 0.9756097560975611, 'area': 0.9957142857142858, 'segment': 0.3, 'amenity': 0.2}"
"Nhà đầu tư, 5 tỷ, Quận 7 hoặc Bình Tân",5969,177723754,"4.81 tỷ 70m2 đường Nguyễn Lương Bằng, Q.7","Dự án: 
Thông tin chi tiết: 𝐒𝐏 𝐡𝐢𝐞̂́𝐦 𝐭𝐚̣𝐢 𝐐.𝟕 𝐭𝐫𝐮̣𝐜 𝐜𝐡𝐢́𝐧𝐡 𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐋𝐮̛𝐨̛𝐧𝐠 𝐁𝐚̆̀𝐧𝐠 𝐠𝐢𝐚́ 𝐜𝐡𝐢̉ 𝟕𝟓𝐭𝐫/𝐦𝟐.
📍 Ngay Ga Metro Tân Mỹ Bến Thành - Cần Giờ và kế khu dự án 32ha của Vinhomes. Sau này về Q.1 chỉ 10p. 
☘️ Tổng giá: 5.3 tỷ/ 70m2 đã vat ( 4.818 tỷ chưa Vat )
☘️ Ưu đãi:
- Vòng quay 5-10-15-20-25-100tr
- Ck mua nhóm sỉ: 0.5-1.5%
- Thanh toán nhanh 70%: Ck 4%
- Vay 70% ls 0% 12 tháng
Liên hệ: Nguyên ***",Căn hộ/Chung cư,1,The Peak Garden,Tp Hồ Chí Minh,Quận 7,Phường Phú Mỹ,Nguyễn Lương Bằng,10.70729,106.73198,70.0,2.0,2.0,,,1.0,,4818000000,"4,818 tỷ",68828571.42857143,2026-08-08 02:54:19.969,2026-07-27 13:12:35,7,active,chotot,https://www.chotot.com/13000/1010/177723754.htm,2026-08-08 09:16:20.074,2026-08-08 09:16:20.074,2026-08-08 09:16:20.074,Quận 7,missing,Không nội thất,,,,1.0,,148.3,1,0.9636,1.0,0.3,0.2,2.4636,"{'price': 0.9636, 'area': 1.0, 'segment': 0.3, 'amenity': 0.2}"
"Nhà đầu tư, 5 tỷ, Quận 7 hoặc Bình Tân",5790,177852448,Bán căn hộ chung cư Hưng vượng 2 khu đô thị Phú Mỹ Hưng Quận 7 cũ,"Bán căn hộ Lầu 6 blook I ngay cổng vào chung cư. vị trí đẹp phong thủy tốt .
Diện tích sử dụng net : 71m2
3 phòng ngủ
Nhà sạch đẹp thoáng ( hình thật căn hộ ) .
Nằm ngay khu vực trung tâm sầm uất phố Bùi bằng đoàn , xung quanh tiện ích đầy đủ, dân cư văn minh, có công viên sinh hoạt chung rộng rãi xanh mát, nơi nhiều người nước ngoài lựa chọn sinh sống. Sổ hồng lâu dài .
Nhà trống .
Giá quá hợp lý cho một nơi đáng sống như khu đô thị Phú Mỹ Hưng  ",Căn hộ/Chung cư,1,Hưng Vượng 2,Tp Hồ Chí Minh,Quận 7,Phường Tân Phong,Tân Phong,10.73019,106.70033,71.0,3.0,,,3.0,,6.0,4850000000,"4,85 tỷ",68309859.15492958,2026-08-06 08:04:04.841,2026-08-02 08:32:09,8,active,chotot,https://www.chotot.com/13000/1010/177852448.htm,2026-08-08 09:15:43.531,2026-08-08 09:15:43.531,2026-08-08 09:15:43.531,Quận 7,missing,,Sổ hồng riêng,,3.0,,6.0,148.3,1,0.956338028169014,0.9857142857142858,0.3,0.2,2.4420523138832997,"{'price': 0.956338028169014, 'area': 0.9857142857142858, 'segment': 0.3, 'amenity': 0.2}"
